LAT,LONG,cant_CP
25.7490276,-100.4336075,1
25.7633922,-100.461808,2
25.9142237,-100.7133092,1
25.80778156,-100.3184443,1321
25.8043673,-100.3177951,1
25.8075525,-100.2809758,263
25.81154035,-100.3005668,197
25.77715371,-100.290692,124
25.77118584,-100.3156819,248
25.78631998,-100.3213269,225
25.78818377,-100.3090426,57
25.7762003,-100.2998963,204
25.77655843,-100.2824865,2265
25.80617808,-100.3619085,53
25.81140449,-100.3525746,389
25.8031817,-100.3759134,4
25.81136917,-100.3960238,272
25.80062414,-100.3716816,24
25.77859562,-100.3194875,5
25.7934834,-100.3496213,10
25.79041711,-100.3386125,28
25.79902595,-100.3371288,181
25.7793115,-100.3308793,38
25.78883906,-100.325235,10
25.77636912,-100.3303564,6
25.83480986,-100.297678,120
25.8284254,-100.3997479,18
25.8208227,-100.3980798,94
25.67284314,-100.4250513,119
25.68775088,-100.4266328,4
25.69271423,-100.4241044,3
25.68266568,-100.4256849,5
25.68315141,-100.420137,32
25.6837717,-100.4253447,6
25.68680891,-100.4200941,7
25.68951108,-100.4211214,6
25.68385578,-100.4406517,53
25.6896251,-100.4363896,31
25.6831209,-100.4282546,3
25.68400186,-100.4294048,10
25.6798216,-100.449576,42
25.6814049,-100.4479538,2
25.6795793,-100.4372951,30
25.67862104,-100.4308556,11
25.67614732,-100.4237152,71
25.67374701,-100.4346169,97
25.6647375,-100.4339862,1
25.66790643,-100.4374146,7
25.66703265,-100.435689,2
25.6670903,-100.4344757,1
25.66941764,-100.4298892,5
25.66929485,-100.4309194,2
25.67147167,-100.4338074,41
25.66342751,-100.4463122,18
25.66501031,-100.4239328,25
25.66245655,-100.431149,15
25.65718359,-100.431965,11
25.6640731,-100.4215147,11
25.66642019,-100.4506118,176
25.65519493,-100.4452048,27
25.67035677,-100.4393736,323
25.66311773,-100.4320144,3
25.67216513,-100.4203091,670
25.66740941,-100.4027788,739
25.67747456,-100.4006039,60
25.67926682,-100.4164977,5
25.68053665,-100.4068187,13
25.67450995,-100.4150481,24
25.67090442,-100.4042855,37
25.68152751,-100.4107282,25
25.6584649,-100.3684248,3161
25.66773408,-100.3776636,4
25.66674592,-100.3831063,100
25.65828667,-100.373036,21
25.66533507,-100.4060943,51
25.67035046,-100.3903332,18
25.66044629,-100.3999023,245
25.65665371,-100.4091869,10
25.64522176,-100.4052801,17
25.65490855,-100.395614,43
25.65894113,-100.4113899,24
25.66273968,-100.4178086,112
25.67000216,-100.3976175,127
25.65150151,-100.3851511,120
25.64803258,-100.3831962,9
25.64771266,-100.3860696,7
25.646879,-100.3905312,8
25.64960315,-100.3629249,376
25.63955929,-100.3669003,49
25.64359549,-100.3790479,58
25.64885257,-100.3726587,7
25.64952111,-100.3604093,58
25.65220847,-100.3405228,151
25.66575931,-100.4025737,28
25.64918586,-100.3411473,29
25.65158634,-100.3564417,142
25.65246299,-100.3377564,392
25.65321105,-100.3518402,40
25.66073913,-100.3521891,136
25.65025058,-100.3340339,421
25.6392949,-100.3471032,106
25.64046797,-100.3437316,62
25.63106305,-100.3341258,11
25.66273831,-100.380311,58
25.63095304,-100.3356138,9
25.62705638,-100.3257241,378
25.64364678,-100.360518,18
25.63995409,-100.3867599,21
25.6350824,-100.3784497,2
25.636541,-100.3819708,29
25.6392915,-100.3953202,3
25.63359933,-100.3762231,3
25.61818326,-100.2675686,14
25.64312692,-100.330862,818
25.62300944,-100.3576528,9
25.6228562,-100.3709414,8
25.63289479,-100.3615271,83
25.7387034,-100.1935154,1
25.7007868,-100.5170456,641
25.66515136,-100.3987222,10
25.6636575,-100.4602042,70
25.6714662,-100.4715428,2
25.67833093,-100.4678396,22
25.68452201,-100.4834845,326
25.69443931,-100.5063161,124
25.69197252,-100.4356388,185
25.68222345,-100.4602304,108
25.69290695,-100.461967,10
25.68994972,-100.4551477,20
25.58582031,-100.4199737,60
25.68690733,-100.4600148,24
25.6877717,-100.4719549,892
25.698748,-100.4664814,56
25.69729937,-100.4570567,57
25.67163382,-100.4534446,6
25.6658204,-100.4562671,2
25.6690657,-100.4575023,2
25.67351273,-100.4576302,10
25.67401057,-100.4448883,265
25.66740319,-100.4549234,14
25.67319119,-100.4539499,14
25.75573329,-100.2933842,332
25.75774517,-100.2735006,34
25.76758845,-100.2875972,14
25.75935857,-100.2811051,20
25.75759394,-100.2846277,86
25.7616113,-100.2666854,8
25.74124583,-100.2892938,225
25.76747004,-100.2824368,14
25.75099481,-100.3052246,134
25.74976985,-100.3084647,987
25.7520655,-100.3047845,36
25.75125312,-100.2993868,82
25.75845618,-100.3057579,61
25.76659071,-100.2912367,127
25.76502333,-100.2997064,199
25.75303936,-100.2741528,26
25.75043566,-100.2781561,5
25.74657116,-100.2619657,11
25.75116496,-100.2574636,93
25.75051753,-100.2619347,44
25.74213848,-100.2506184,85
25.73212092,-100.2689197,115
25.74284287,-100.2415367,24
25.73814542,-100.2655178,54
25.74776236,-100.247568,50
25.75024517,-100.2538871,31
25.73498736,-100.3069703,1033
25.72660613,-100.3105887,251
25.73702826,-100.2978938,8
25.74429981,-100.3130084,52
25.74469368,-100.3074382,54
